Macroarea,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method
Africa,3.7350,10.5163,39.3950,4.9439,3.3243,1.7222,2.0108,24.4603,26.9533,22.1749,1.7798,4.7784,mean
Africa,3.6970,10.5546,39.3416,4.9553,3.3355,1.7240,2.0174,25.2143,27.0010,23.3330,1.5206,4.0530,median
Australia,5.1059,10.7512,41.4486,5.0165,3.3951,1.8029,1.9632,23.5918,28.0920,18.3673,3.5291,9.7247,mean
Australia,5.0836,10.7591,41.7139,5.0074,3.3977,1.8052,1.9642,25.4573,29.1211,20.3350,3.1643,8.7516,median
Eurasia,3.6713,9.8250,36.4818,4.7701,3.1609,1.6866,1.9309,14.6073,23.2265,5.1794,6.4660,18.0471,mean
Eurasia,3.6667,9.8027,36.5936,4.7504,3.1506,1.6882,1.9184,16.0512,24.4537,6.0159,6.3938,17.6391,median
NorthAmerica,4.1927,9.3967,35.5731,4.5718,3.0689,1.6277,1.9171,14.3600,20.7785,8.2491,4.5792,12.5294,mean
NorthAmerica,4.0513,9.3962,35.1705,4.5872,3.0750,1.6307,1.9142,14.7707,20.4872,11.0262,3.0139,7.8478,median
Pacific,4.3859,10.6365,41.5606,4.9982,3.3841,1.7456,2.0338,23.9785,24.8193,22.9640,0.7983,1.8553,mean
Pacific,4.3438,10.6178,41.4378,4.9975,3.3797,1.7457,2.0261,25.3709,26.1466,24.3296,0.5932,1.2689,median
SouthAmerica,4.5294,10.4853,41.9614,4.9713,3.3861,1.7119,2.0682,22.0568,23.7391,20.4984,1.3809,3.2407,mean
SouthAmerica,4.4118,10.5324,41.9805,5.0179,3.3924,1.7207,2.0727,25.1589,26.0098,24.1913,1.1491,2.3188,median
